my_note,outcome,p_hate,n_words,lex_hits,script,text
,MISSED,0.08184822280144145,4,1,mostly_latin,Islea Rape hote hai
,MISSED,0.12172147960168651,14,0,mostly_latin,"Bal Thakray muslims k against jo kar rahay, usko kia bolain ge? https://twitter.com/chintskap/status/875447907922567170 …"
,MISSED,0.13004212608572585,9,1,mostly_latin,ab v to rape band nahi ho raha hai
,MISSED,0.1732182633152933,5,1,mostly_latin,tujhe murder kar dungi main!
,MISSED,0.1900479261663288,8,1,mostly_latin,Abhi terrorism aur baqi hai mere dost @chintskappic.twitter.com/T4V5ejyywa
,MISSED,0.19246581823627093,30,1,mostly_latin,Sir hum piche isiliye hai ki desh ka kanoon sahi nahi hai har 26m me ek rape hota hai bharat me daily koi javan saheed hota h border par sir
,MISSED,0.19928088617419817,14,1,mostly_latin,history main likha jayega...11 logon ne 120 crore ka rape kiya..vo b aik sath
,MISSED,0.20366435486316561,25,1,mostly_latin,CM thai to terrorism sai kasai ladna hai sab malum tha. PM hotai hi sab bhool gayai. Or cake kaha nai pakistan bhi chala gayai
,MISSED,0.2079034179086132,22,0,mostly_latin,Army ko roti nai milti awam k pas toilet nai or girls ka sath rape.muqabla karty hain Pakistan se wah g wah
,MISSED,0.2135837133834338,16,1,mostly_latin,tabhi Loktantra ka Murder BJP karti hai Supreme court bhi kai bar Phatkaar laga Chuka hai
,MISSED,0.21508312174683086,22,0,mostly_latin,Apne baremai socha.Hamare Army ko Khaneko nehi lekin undar ghush ke surgical strike kia.Gidhad bhaki deke chup rahai khoon pinewale https://twitter.com/AsifEllahi1/status/820989353321263104 …
,MISSED,0.21544419612658253,16,0,mostly_latin,Nirbhaya was raped by Muslims..m pathetic community.. Jis Quam Ki Shuruwat Aisha k Rape..  @shahiddar128 @simranandsimoni
,MISSED,0.22287947406903938,26,1,mostly_latin,Dilog acha hy rishi sir sbko pata hu terrorism kon kr Raha hy soo plzzz dosron pay ilzm na lagao pehly apne ghr ko saaf kro
,MISSED,0.22580171772733232,14,1,mostly_latin,Hitler rule hota toh desh me azam khan jaise traitors bhare pde na hote
,MISSED,0.22771819999839688,4,1,mostly_latin,I Hate Love Story...
,MISSED,0.2278272884036315,14,1,mostly_latin,khud hi rape karke khud hi protest karogo to arrest to hona hi hai
,MISSED,0.22926890351132503,4,1,mostly_latin,Abhi tera rape karugiii
,MISSED,0.23274398001633956,14,0,mostly_latin,Is ke tweets and replies parh k mera 1 litre khoon jal jata ha.
,MISSED,0.23296786281144521,20,0,mostly_latin,"Baap aur beta dono ek category ke hai ""Mulayam stands by Ladkon se galti ho jati hai comment on rape"""
,MISSED,0.23618040469261964,18,1,mostly_latin,Ek aurat ka rape ho gaya hai yaha wo use bhi politics me uska bachao kar rahi hai
,MISSED,0.2662459740324784,21,1,mostly_latin,"Darze nai kehte darje kehte loruu singhh!! Na bolna aata hai na ilkhna, gang rape ki birth hai tumari yaqeenan hahaa"
,MISSED,0.2682367771064375,18,1,mostly_latin,"Wo thodi dikhega bhai inhe,Islamic Terrorism ka naam lete hi inki zubaan pet mein gir jaati hai,Frustrated Bechaarey"
,MISSED,0.27766832454949064,14,1,mostly_latin,"Tumhare to terrorism failane aate Hain, Indian army 72 hooron se mila deti unko"
,MISSED,0.2808212226091936,27,1,mostly_latin,Rape say paida honay walo pehlay decide to kar ap logon ka asal baap kon hai jo paida hota hai ilzam Pakistan pay ilzam laga detay ho
,MISSED,0.2856412873251538,30,1,mostly_latin,Hum to lagta hai ki sanghi aur bhakt ko mandir me ye sikhaye jata h ki koi Teri behan ka rape karega to bolna meri behan ka hi galti hai.
,MISSED,0.2900234969742826,12,1,mostly_latin,Aisi faltu ki id bnd ho chahiye jo nafrat ko badhawa de
,MISSED,0.29119383582495256,20,1,mostly_latin,Aise  hi meeting attend karte raho train MEIN RAPE  hota  rahe ga tum napunsak ki Tarah baith  kar  dekhte  raho
,MISSED,0.29137544454881076,8,1,mostly_latin,Kya tumhari #geeta m likha hai #rape  kro
,MISSED,0.2941512545113758,26,1,mostly_latin,"@sardanarohit Sir, ye kaisi culture h jisme jo bhn Bhai ko rakhi bandhti h apni security k liye wahi Bhai uska rape krta h.pahle apna dekho"
,MISSED,0.29634595246895606,23,1,mostly_latin,gayatri prajapati jis pr rape ka aarop h ussi ka chunav prachar kr rhe the.. Waise toh stage pr baithne ni dete pr
,MISSED,0.29755285708313023,27,1,mostly_latin,Bhai rape me fir na likhne aur gaytri ko bachane ki poori koshish aur mulayam ka repist kahne per sale baap bete to road per kheecha ths
,MISSED,0.29980344168642376,22,2,mostly_latin,Valentine night per Bangalure ma jis tarah aurton se rape kiya gaya pehle usse band karwaen kahan terrorism ki bat karte hen
,MISSED,0.30243546220433526,18,2,mostly_latin,Hamari quantity jyada h magar % kam tumhare yaha to hm se bhi battar. Rape ki saza rape
,MISSED,0.30582145700003643,22,0,mostly_latin,Sahi toh kahaa hain @SushilModi ne.. baas woh Safeed aur Kaali Dadi add karna bhul gayein! Sampatei registere; Rape; snooping etc etc
,MISSED,0.3059362405512268,22,0,mostly_latin,@asadkhan3570 Ho hadapne ka tumhri aye khoon me aadat h dusri ki cheeso Ko churake uspar lipa poti karke apan bana na.
,MISSED,0.30875318817146513,19,2,mostly_latin,"I don't talk with hate preachers because ""hamara kaam to mohabbat banta hai jahan nafrat ki jagah nahi hai"".."
,MISSED,0.3108693047975756,21,1,mostly_latin,"haan poocha, usne ek din rape ke kosis par kar nahe paya kyonki wo hizda thaa. see where is his wife"
,MISSED,0.3113766225869969,31,1,mostly_latin,Nawaz shareef pay bura waqt aya hwa hy Jo tall nai sakta q k is nay ashiq e rasool MUMTAZ QADRI KO PHANSI DILWAI ALLAH KA SAKH AZAB HY IS PY
,MISSED,0.31359360157190663,20,1,mostly_latin,"Mr mulayam yadav ji kehte hai rape ki ghtna koi badi baat nhi hai, bachho se galti ho jati hai."
,MISSED,0.31483350534009186,21,1,mostly_latin,Kashmir me itny log shaheed karty ho woh terrorism act ni Jahil Rishi kapoor Khoty kabhi school be chala jata ...
,MISSED,0.3165261859410462,25,1,mostly_latin,Bhai Army to donoun taraf ki hi lagi hoe hai. Hum log aapas main nafrat ko pata nahi kyun parwaan charha rhe hain  https://twitter.com/iamWali10/status/876031527087349760 …
,MISSED,0.3168689192290901,4,1,mostly_latin,Khud ko rape karwake...
,MISSED,0.31735816998732136,21,1,mostly_latin,To teri behan aur mummy jisko tune rape kiya wo log pakistan me jeans or top pehan ke ghumte hai kha?
,MISSED,0.3194163364084135,10,0,mostly_latin,Aur phir mun utha Kar ah jate ho Twitter par
,MISSED,0.3232541630744405,23,1,mostly_latin,hamesha abroad me rahne wale hame sabhyata mat sikhao nafrat ko failne wale singing me kuchh nahi ho raha to politics ki taiyari
,MISSED,0.3233322862933008,23,1,mostly_latin,Lekin YRF/Lallu ne pair kyu pakda?logic ke hisaab se haarne wala bhaaga hai.jeetnewaala reham/bheek deta hai.bhaitards ki logic ki rape hgya https://twitter.com/yoursAbhi_/status/886130018698633216 …
,MISSED,0.32697351860677376,25,0,mostly_latin,"Chori ek paise bhi hoti hai aur lakhon ki bhi. Chori, chori hai !Terrorism is terrorism, ek maaro ya hazaaron !!Don't try to defend yourself"
